timestamp,close,volume,quote_asset_volume
2025-03-18,0.0072783,119435744553.0,834389225.1865331
2025-03-19,0.0074549,128837110104.0,943995694.7712904
2025-03-20,0.0076399,116301778383.0,878671071.2514832
2025-03-21,0.0072046,102687922164.0,760527705.6096278
2025-03-22,0.007062,57967291573.0,419976905.6303705
2025-03-23,0.0073416,58634720584.0,424900759.8875965
2025-03-24,0.0079932,101929787970.0,785639230.7458459
2025-03-25,0.008009,84769300297.0,677656213.688788
2025-03-26,0.0085216,159390133380.0,1378958408.849002
2025-03-27,0.0084385,95144979998.0,807727082.6128733
2025-03-28,0.0077797,94236849770.0,747896911.7530874
2025-03-29,0.007215,102823032682.0,762260108.1549207
2025-03-30,0.0069407,109022741958.0,769121627.7246131
2025-03-31,0.007203,140974734706.0,992915862.6696849
2025-04-01,0.0077182,125793424181.0,950673622.1774294
2025-04-02,0.0070548,177149689120.0,1327507608.7782042
2025-04-03,0.0067035,131616535752.0,893806412.6790901
2025-04-04,0.007238,163337541496.0,1138462120.904873
2025-04-05,0.0070551,75335181233.0,536423263.6544177
2025-04-06,0.0063289,128309798578.0,850720066.5148221
2025-04-07,0.0064496,232383573674.0,1454418574.3571863
2025-04-08,0.0060402,123697400890.0,770453119.9071193
2025-04-09,0.0069747,173388572840.0,1119808508.8702798
2025-04-10,0.0067066,97760647893.0,655432422.3711832
2025-04-11,0.0069347,84131676160.0,577407501.1590912
2025-04-12,0.0074368,91713529326.0,659117837.889895
2025-04-13,0.0072729,98360367287.0,722798612.968941
2025-04-14,0.0073346,101855886028.0,761864808.5865358
2025-04-15,0.0069999,90357946498.0,653198744.6704206
2025-04-16,0.007179,39210650989.0,277755276.437616
