timestamp,close,volume,quote_asset_volume
2025-03-18,11.015,27880352.98,306255002.64116
2025-03-19,11.646,31849888.57,357614435.39671
2025-03-20,11.046,30680474.4,347312684.65839
2025-03-21,10.855,21301742.04,231720527.97418
2025-03-22,10.739,19997362.34,219348854.24777
2025-03-23,11.512,69661826.92,814957151.61367
2025-03-24,11.888,40129448.95,473426760.73348
2025-03-25,11.601,23581603.23,272142742.11746
2025-03-26,11.392,30725296.1,356804615.55549
2025-03-27,11.102,21384088.56,241967455.35378
2025-03-28,10.339,30280048.0,317362707.04548
2025-03-29,10.071,23039496.38,232617468.30461
2025-03-30,10.214,17788792.78,180782064.4076
2025-03-31,10.01,23479630.23,236771852.56368
2025-04-01,10.386,21060949.41,216123129.36774
2025-04-02,9.155,47558183.71,475897746.21105
2025-04-03,9.47,39091830.31,356504549.54062
2025-04-04,9.347,31366998.44,293857928.7416
2025-04-05,9.227,13677409.36,126587772.08999
2025-04-06,7.93,53113783.42,446653960.47852
2025-04-07,7.821,88714558.84,685839352.6845
2025-04-08,7.569,41337664.44,320178583.08118
2025-04-09,8.169,64809299.97,503529122.47524
2025-04-10,7.911,34961731.96,277826271.17706
2025-04-11,8.051,28672493.36,230557540.55651
2025-04-12,8.686,32374325.72,270190378.59892
2025-04-13,8.258,41623795.46,354070472.14877
2025-04-14,7.874,38513744.79,316852250.14876
2025-04-15,7.82,30875583.77,245197012.40269
2025-04-16,8.017,16699489.4,132521341.31749
