timestamp,close,volume,quote_asset_volume
2025-03-18,0.16794,4045539660.0,674583198.36161
2025-03-19,0.1779,4456370347.0,763377796.39683
2025-03-20,0.16938,3795930462.0,654280380.87896
2025-03-21,0.16718,2817158452.0,472544670.88556
2025-03-22,0.16729,1667443549.0,280730028.58584
2025-03-23,0.17255,2343835736.0,398915913.63474
2025-03-24,0.1829,5375018456.0,968014263.59952
2025-03-25,0.19056,6366603812.0,1195686408.75537
2025-03-26,0.19481,8710740426.0,1719631568.50661
2025-03-27,0.19039,5658743507.0,1096925935.40367
2025-03-28,0.18013,5927068027.0,1081337024.10681
2025-03-29,0.16946,5404211186.0,931787827.625
2025-03-30,0.16645,3882619104.0,656814920.87923
2025-03-31,0.16658,6141841304.0,1012300015.16083
2025-04-01,0.17391,4872325763.0,834123331.69311
2025-04-02,0.16376,8169238135.0,1402614533.02637
2025-04-03,0.16222,5502513890.0,884679414.71023
2025-04-04,0.1712,7815952065.0,1298820988.14094
2025-04-05,0.16887,2711431570.0,457566264.95738
2025-04-06,0.14915,7449815585.0,1167104933.14205
2025-04-07,0.14951,17516212198.0,2499117168.71418
2025-04-08,0.1422,8904300702.0,1326998776.73911
2025-04-09,0.16028,12198139708.0,1814186427.22337
2025-04-10,0.15349,6762664801.0,1046395323.81008
2025-04-11,0.15996,4156924846.0,656735950.44362
2025-04-12,0.16757,4263177506.0,699853630.98482
2025-04-13,0.16252,4750347219.0,781759280.05544
2025-04-14,0.15845,4963326534.0,811313310.73177
2025-04-15,0.15349,4108702089.0,648657414.1372
2025-04-16,0.1535,1952838336.0,300118759.67052
