timestamp,close,volume,quote_asset_volume
2025-03-18,627.42,1295724.68,818537020.9818
2025-03-19,618.02,1343612.78,825906328.065
2025-03-20,629.92,1587667.77,995634219.2181
2025-03-21,634.64,726490.52,459260311.055
2025-03-22,626.5,466860.98,293349093.6401
2025-03-23,623.25,416574.83,259318310.2483
2025-03-24,636.58,975464.26,613336106.1638
2025-03-25,629.53,1155894.36,735443246.6479
2025-03-26,617.72,619218.77,387207344.5444
2025-03-27,636.66,1590895.35,1007940817.2615
2025-03-28,619.24,805805.88,505842517.0951
2025-03-29,602.59,827440.62,502028218.577
2025-03-30,601.95,563384.55,340353450.9618
2025-03-31,604.63,854268.82,512375139.7763
2025-04-01,610.93,1408845.71,862087297.9167
2025-04-02,590.08,1261896.27,759040342.0336
2025-04-03,592.43,1459211.71,869503886.366
2025-04-04,597.84,745865.93,442618369.8534
2025-04-05,593.11,285833.34,170001909.6835
2025-04-06,555.35,1017294.88,577653369.6766
2025-04-07,554.63,1954449.46,1068127558.1847
2025-04-08,553.72,820262.08,457681354.2504
2025-04-09,582.12,1295600.09,728402746.8663
2025-04-10,577.79,1079915.33,621817513.5821
2025-04-11,585.84,516951.57,301341919.1747
2025-04-12,597.11,464684.15,275197495.7048
2025-04-13,584.06,442529.13,260108416.3955
2025-04-14,584.09,454731.12,267332711.1858
2025-04-15,579.11,414127.89,242592468.1821
2025-04-16,582.26,234096.22,135791715.4188
